"DATE";"Tair_min";"Tair_max";"Tair_mean";"RG_sum";"PPT_sum";"RHair_min";"RHair_max";"RHair_mean";"WS_mean"
"01/01/1959";3;7.2;4.7;3.639;0.1;74.3759530245394;99.7044118951798;88.4429255249465;4.6
"02/01/1959";2.1;5.4;3.3;0.25;11.3;76.9550415997061;97.1326329270611;89.1805631007973;9.4
"03/01/1959";0.4;1.8;1.1;1.853;7.3;95.4217442426517;100;100;4.1
"04/01/1959";-2;0.7;-0.6;1.227;5.4;90.4025227540288;100;99.3732614121775;4.2
"05/01/1959";-1.9;2.5;0.1;1.635;8.9;79.0135853248026;100;93.9218525677618;5.3
"06/01/1959";0.4;7.2;4.3;0.799;9.6;75.3550063552465;100;92.1561023180551;9.8
"07/01/1959";5.6;7.6;5.9;1.544;30.1;80.4246997315781;92.3108665827673;90.4087630255002;7.9
"08/01/1959";0.4;0.9;0.4;0.703;5.6;91.9302985747977;95.319641009286;95.319641009286;5.2
"09/01/1959";-2.1;0.7;-0.7;2.004;9.6;81.8012162107743;100;90.579132358858;5
"10/01/1959";-2;-0.7;-1.5;1.987;5.8;84.2296026091365;92.6921601591096;89.329949851662;6.2
"11/01/1959";-4.4;-1.7;-2.9;1.81;9.3;84.035772649829;100;91.8660717836097;5.7
"12/01/1959";-2.1;-0.6;-1.3;3.387;4.1;85.8185589012827;95.8420829877836;90.3428190739099;8
"13/01/1959";-1.9;-0.1;-0.8;1.298;2.3;87.6357484454486;100;92.2358120253167;6.2
"14/01/1959";-3;-0.9;-2.1;0.985;15.6;86.899036842231;100;94.9387939378499;1.5
"15/01/1959";-2.5;-0.7;-1.5;1.076;10.2;94.6529456938562;100;100;2.9
"16/01/1959";-6.6;-3.9;-5.2;3.885;0.1;84.3356814439285;100;93.0553328465084;1.5
"17/01/1959";-7.7;0.3;-4.7;0.75;0;64.4621432309891;100;93.4107878506777;1.2
"18/01/1959";-10.6;-0.7;-5.3;3.822;0;67.0353008090059;100;94.5192371181462;0.4
"19/01/1959";-2.9;6.8;0.5;1.256;0;50.4483873602722;100;78.7216773111944;1.4
"20/01/1959";1.2;9.2;7.4;1.371;3.5;54.843224786494;95.8103344942886;61.9806705289624;6.4
"21/01/1959";6.3;9.8;7.1;1.263;0;64.8483979140122;82.305450150964;77.8938575707633;7.6
"22/01/1959";6.5;13.8;10.9;1.089;4.3;61.2214098414083;99.8206541538689;74.0888113160176;6.4
"23/01/1959";7;8.9;8.3;1.18;12.4;79.4817793625392;90.4717655230178;82.7818750291958;9.2
"24/01/1959";1.4;2.7;2.1;2.034;0;82.5774825792142;90.6288638375042;86.1897264777913;4
"25/01/1959";-1.1;3.7;0.6;3.938;0.2;72.3197961118213;100;90.2672401972658;1.8
"26/01/1959";-3.1;2.5;-1.3;5.811;0;67.9106605246469;100;89.4326379262689;2.3
"27/01/1959";-5.4;2.5;-1.9;7.88;0;62.1808378868156;100;85.5943801031402;3.6
"28/01/1959";-5.2;0.2;-3.4;8.323;0;71.4043672287776;100;93.1354230610197;4
"29/01/1959";-5.8;-5.1;-5.7;2.48;0;99.021777225442;100;100;1.7
"30/01/1959";-7.5;-5.8;-6.6;5.714;0;97.3324333978457;100;100;0.8
"31/01/1959";-7.2;-1.7;-4.4;5.834;0;83.6426582041839;100;100;0.6
"01/02/1959";-4;-0.9;-1.9;4.406;0;81.396571582864;100;87.6199193956491;4.4
"02/02/1959";-1;1.4;-0.6;2.793;0;61.7299075220051;73.4949955543719;71.371365690082;8.8
"03/02/1959";-5.9;-0.9;-4;7.392;0;59.5862818242332;86.6755599379226;75.0290398587811;8.2
"04/02/1959";-7.9;-0.6;-4.9;8.502;0;50.146821223434;87.021699852045;69.0922761109266;5.1
"05/02/1959";-8.2;0.6;-4.6;7.522;0;55.8164361808688;100;82.0379492944619;1
"06/02/1959";-6.7;2.1;-3.2;9.431;0;57.7198168267562;100;85.0573754992307;0.7
"07/02/1959";-6.9;-0.2;-4;10.626;0;68.2053856990018;100;90.3938384518712;2
"08/02/1959";-7;5.1;-1.6;11.042;0;53.135797890312;100;85.9390490635874;2.4
"09/02/1959";-4.7;4.8;0.4;7.162;0;62.8656595211051;100;86.0106771566381;1.1
"10/02/1959";-0.2;5.6;2;3.068;0.9;71.608138252069;100;92.3079566065137;0.8
"11/02/1959";-0.8;4.9;0.6;9.682;0;65.3448199840632;98.2641114918379;88.7338216208683;1.3
"12/02/1959";-6.2;-3.9;-4.6;4.763;0;96.948622394985;100;100;1.6
"13/02/1959";-4.8;-3;-4.2;5.951;0;93.8866446174418;100;100;1.4
"14/02/1959";-5.9;-4.4;-5.1;4.207;0;96.900652815294;100;100;1.6
"15/02/1959";-8.7;-3.7;-5.9;7.048;0;86.2005151186053;100;100;1
"16/02/1959";-8.7;0.2;-3.4;10.722;0;72.6935396658483;100;94.8169395422245;2.5
"17/02/1959";-0.8;5.3;1.5;10.234;0;63.3815366107993;98.0093946129708;82.9381106997759;2.4
"18/02/1959";-2.5;1;-1.5;8.747;0;81.8587843544161;100;98.2391076253934;2.4
"19/02/1959";-5.2;-3.2;-4.3;3.23;0;94.9965123818912;100;100;0.8
"20/02/1959";-8;7.2;0.9;11.953;0;56.7208929626073;100;88.3791281728333;3.9
"21/02/1959";3.4;7.1;4.9;4.262;6.7;73.4658664972386;95.0767317550981;85.5580505897325;6.8
"22/02/1959";3.4;7.4;4.4;2.508;0.4;68.0125058984476;89.8481389397055;83.7343464601649;3.3
"23/02/1959";-2.1;7;2;2.903;0;57.7652459724304;100;82.0258437930221;0.4
"24/02/1959";-2.9;7.6;2.1;6.12;0;61.7786625510918;100;90.7550061075706;0.8
"25/02/1959";-1.2;5.5;2.1;9.201;0.1;78.2264413273618;100;99.4267432937843;1.1
"26/02/1959";1.2;10.9;5.4;13.546;0;59.8010584335799;100;86.9515633001875;0.7
"27/02/1959";-0.4;11.2;4.7;12.818;0.1;55.7898282240463;100;86.8969874654901;2
"28/02/1959";-1.5;12.2;4.4;12.347;0.1;53.2982275967706;100;90.5757700187119;1.8
"01/03/1959";2.1;15.5;8;13.468;0;43.0644298903824;100;70.7065721741369;1.3
"02/03/1959";2.1;15;7.6;11.906;0.1;41.8999788409896;100;68.4625016744152;1.9
"03/03/1959";0.1;12.5;6.9;5.248;0.3;55.6640706308463;100;81.101337441873;1
"04/03/1959";6.9;7.9;7;2.247;12;92.0285558171071;98.5504130733063;97.8754801476532;1.9
"05/03/1959";3.1;13.3;9.3;1.629;2.2;64.9453188505631;100;84.6825775229454;1.5
"06/03/1959";9;11.6;10.1;1.226;7.6;80.1049599838302;95.3176213302483;88.5179348388685;3.3
"07/03/1959";7;10.4;8.3;0.971;2.6;81.886702126293;100;94.3356043498174;1.8
"08/03/1959";6;11.7;7.5;6.851;0.3;68.3272374727878;100;90.6308638351651;1.7
"09/03/1959";1.8;11.4;6.2;7.593;0.1;64.2564880707693;100;91.3702551203024;3.6
"10/03/1959";1;8.5;4.3;3.642;0;65.9342786568723;100;88.1126183824812;2.9
"11/03/1959";-1;10.5;4.9;13.097;7;59.9406305064866;100;87.8729736479237;2.8
"12/03/1959";4.5;6.1;5.4;1.91;13.4;91.9525521370328;100;96.5300486386488;2
"13/03/1959";4.3;8.7;6.1;2.981;0;72.0594420133797;97.6128427748004;86.1005539027423;2.1
"14/03/1959";0.2;9.8;4.5;9.687;0;51.5154596706956;100;74.1102216987143;1.1
"15/03/1959";-2.4;9.4;4.6;6.635;1.6;49.1331948033489;100;68.32635528314;1.3
"16/03/1959";2.5;7;4.6;2.964;0;65.998827511036;90.4286405410269;77.9554703314813;2.5
"17/03/1959";1.1;9.5;4.4;15.712;0.5;56.1754649819924;100;79.7581344774196;6.8
"18/03/1959";-1;7.8;3.4;9.314;0.8;60.401326751709;100;82.0052497166167;3.1
"19/03/1959";0.6;11.4;7;11.563;3;63.6639837584871;100;85.6715549422102;2.3
"20/03/1959";7;9.6;7.9;3.454;2.9;88.0889818327246;100;98.8369859648399;1.4
"21/03/1959";4.3;17.9;11.1;8.574;0.4;50.2745955723367;100;78.0440248310335;1.2
"22/03/1959";8.8;16;12;1.075;1;59.8141989335382;96.0400864670334;77.5507919553802;2.9
"23/03/1959";9.3;16.6;12;14.834;0;60.0111659748592;96.7880396400933;80.8396986125617;1.4
"24/03/1959";4.9;18.7;11.9;13.137;2.7;51.8333575043508;100;80.2401758074641;2.3
"25/03/1959";7.7;9.4;8.2;2.255;6.2;88.7714515392152;99.6213994596178;96.2833964690124;3
"26/03/1959";4.5;12.8;7.3;12.092;1.5;60.1471088096524;100;86.9548973587937;2.3
"27/03/1959";2.5;14.7;8.6;15.457;7.9;51.1081207618665;100;76.5175999143477;1.5
"28/03/1959";6.9;12.3;9;2.368;0.8;68.3419692955708;98.2718832275463;85.1653646266691;3.9
"29/03/1959";3.1;14.3;8.7;12.59;14.8;52.5372352269185;100;76.1311699855816;1.2
"30/03/1959";5.8;10.5;6.8;7.318;4.3;70.9042840623957;97.6314998040763;91.1139448629114;2.5
"31/03/1959";2.1;15.4;8.2;16.513;0;46.7695264110254;100;75.2668431684433;1.5
"01/04/1959";3.2;17.1;10.3;12.84;0;41.1787065590007;100;64.1038181766615;1.7
"02/04/1959";3.9;17.7;10.9;22.713;0;42.2376026540394;100;65.6136613122619;2.2
"03/04/1959";5.3;18.5;11.3;19.664;0;44.956673909232;100;71.5126902738357;3.3
"04/04/1959";4.7;21.8;13.8;21.161;0;35.9135134918522;100;59.4551096755772;2.6
"05/04/1959";9.9;21.7;14.9;17.767;0;38.6257709650876;82.228854765774;59.1872741049833;5.2
"06/04/1959";7.1;19.5;12.3;12.509;10.1;46.3345702532791;100;73.4351437329032;6.3
"07/04/1959";3.9;8.1;5.4;6.466;10;72.5509364035351;97.0475273630925;87.3695996622076;7.2
"08/04/1959";4.1;11;9.5;9.418;2.8;72.6290259382571;100;80.2957709383367;8.3
"09/04/1959";6.7;9.1;7.1;3.196;6.9;75.6927506201911;89.1519488768162;86.7336791664495;4.4
"10/04/1959";3.1;6.3;4.7;3.434;7.8;83.8251980894361;100;93.691480665076;3.3
"11/04/1959";4.5;11.3;8;8.6;7.9;66.4489831838075;100;82.9544761441249;5.7
"12/04/1959";7.6;14.7;11.6;6.869;1.7;66.7474980398066;100;81.7397550855409;4.7
"13/04/1959";8.9;20.4;14.8;20.992;0;44.5222531803323;93.6055200118537;63.3943394211782;1
"14/04/1959";10.1;21.2;15.6;19.362;0;44.1439410735065;89.9288418890337;62.7169786081049;1.7
"15/04/1959";11.8;19.5;14.7;11.106;0.1;46.3201917985845;75.87303529805;62.7816247986094;1.7
"16/04/1959";9.1;17;11.8;2.906;4.3;60.4743434803553;100;84.669738288527;3.5
"17/04/1959";6.5;9.2;8.1;3.173;7.4;94.0950040589732;100;100;3.9
"18/04/1959";8.5;12.1;10.1;6.914;20.5;88.3323240924706;100;100;3.1
"19/04/1959";5.3;7.4;6.7;3.068;2.6;85.8547065845626;99.2544247878616;90.0821723046347;3.4
"20/04/1959";3.2;7.8;4.9;12.698;0.6;55.0713448450292;75.8354911719068;67.28333278889;2
"21/04/1959";0.5;10.1;4.8;22.442;0.2;41.5228626258896;81.064277911364;59.6816285293819;2.2
"22/04/1959";-1.5;12.6;6.4;15.149;0;40.7653733713124;100;61.8808332437357;0.8
"23/04/1959";1.6;16.3;9.1;23.018;0;35.7900585749888;96.7776290092907;57.4006884710597;1.6
"24/04/1959";3.3;17.2;10.6;20.259;0;45.8270462027914;100;70.3688884678503;1.4
"25/04/1959";4.7;19.1;13.2;20.587;0;44.3705653402247;100;64.6619321758117;1.6
"26/04/1959";11.6;13.8;11.9;2.946;2.9;60.6326431194646;70.045600343376;68.6703356159519;4.4
"27/04/1959";8.3;14.8;11.3;13.734;4.3;59.8993246791126;92.1171692096465;75.3104705913568;3.5
"28/04/1959";8.4;12;10;2.627;7.6;84.7677920759093;100;96.8256804068578;2.4
"29/04/1959";7.2;14.3;10.5;3.168;4.9;76.1059949204561;100;97.7100318665388;2.3
"30/04/1959";8.7;10.3;9.3;3.371;23.2;91.5174055316901;100;97.8733569333549;4.2
"01/05/1959";7.5;8.7;7.9;3.182;3.1;90.9980486314146;98.7442444283201;96.0830142196895;4.6
"02/05/1959";6.4;11.8;8.5;8.654;2;69.7612697665138;100;87.0115096376279;3.4
"03/05/1959";3.4;12.7;8.6;22.237;0;54.2498870658571;100;71.3094429707019;1.3
"04/05/1959";5.8;17.1;10.5;11.212;0;48.7174102968165;100;74.8327126198995;1.7
"05/05/1959";6;16.4;10.7;16.535;0;55.0130051062734;100;79.7567804762264;3.2
"06/05/1959";7.7;17.2;11.6;7.886;0.4;60.0203086095639;100;86.2384248179861;2.5
"07/05/1959";7.3;18.9;13.6;6.425;0;58.2644226538491;100;81.6967559896385;3
"08/05/1959";12.6;20.2;16.4;12.013;0.1;59.7798030552097;97.014662196897;75.878801833367;1.5
"09/05/1959";13.5;24.3;18.2;24.729;0;46.9595945550341;92.2160002828472;68.2676677005412;2.4
"10/05/1959";12.3;24.3;17.9;23.577;0;50.2690257189926;100;74.470287609284;1.5
"11/05/1959";10.9;24.1;17.6;22.276;0;48.5737278436311;100;72.4582519368399;2.5
"12/05/1959";13.7;23.8;17.6;26.844;0;42.227433732865;79.4303997307634;61.866455609908;4.1
"13/05/1959";9.3;19.8;14.6;26.458;0;38.6628107435997;76.236582689487;53.7341713639774;3.9
"14/05/1959";7.3;18.3;12.7;6.009;2.9;48.8172294338821;100;69.9210901217062;1.4
"15/05/1959";8.2;12.8;9.8;12.324;3.4;76.3223257892601;100;93.128757336264;1.6
"16/05/1959";7.1;18.3;13.3;19.489;0.6;55.4656711567822;100;76.3849149412308;3
"17/05/1959";11.1;20;15.4;19.857;1.2;59.1233016553207;100;79.0173058244829;3
"18/05/1959";12.2;22.8;17;16.972;0.7;51.906218202471;100;74.3607330611712;1.1
"19/05/1959";10.5;19;14.6;17.532;3.3;66.0749389445798;100;87.3731945029521;0.5
"20/05/1959";10.4;23.6;17;14.538;9.6;55.5827670023238;100;83.5706643700709;1.2
"21/05/1959";14;22.1;17.1;10.961;11.7;62.560582843895;100;85.3494928720346;2.7
"22/05/1959";11.8;18.8;15.7;7.47;0;69.7292109545836;100;84.8398647617728;5.7
"23/05/1959";12;22.4;16.8;23.342;0;44.651975579738;86.266975675826;63.2313566249486;6.9
"24/05/1959";9.4;19.4;15;29.746;0;42.6810535600603;81.5431362418449;56.3891138599085;5.1
"25/05/1959";11;22;16.2;30.356;0;40.2793609077566;81.1473216800325;57.8339860941956;3.1
"26/05/1959";9.5;23.9;16.5;27.644;0;39.7547719868372;99.3366726807667;62.8252230757069;0.8
"27/05/1959";7.1;13;10.9;9.059;0;76.7765456753641;100;88.1890608797881;1.5
"28/05/1959";7.8;16.5;11.4;24.218;0;51.6250381990262;91.5955850205717;71.8985845067358;1.9
"29/05/1959";8.1;14.3;10.4;11.219;0.2;60.1168363502539;90.7377220008432;77.6993139493802;1.1
"30/05/1959";7;12.8;8.8;9.019;6.2;68.8797412894406;100;89.9089495218878;1.8
"31/05/1959";6.2;15.8;11.3;21.365;0;58.0419867593766;100;77.8179793907457;0.9
"01/06/1959";9.1;20.8;15.3;22.882;1;53.8397531306092;100;76.085885276295;2.2
"02/06/1959";12.5;20;16.2;25.419;0;62.259631461391;100;79.0560057810939;1.2
"03/06/1959";12;23.2;17.8;22.73;0;47.1578753534719;95.6339677807318;65.8010325708245;1.3
"04/06/1959";13.9;26.6;20.2;22.709;0;42.5647679121611;93.3563479247832;62.6228544902399;1.7
"05/06/1959";13.1;25.1;19.7;17.614;1.7;54.2696068747694;100;75.3572230513183;2
"06/06/1959";13.6;23.2;17.8;19.561;6.4;62.7510918848606;100;87.5587928849833;0.7
"07/06/1959";13.3;20.7;16.7;13.536;0.9;71.7134750848374;100;92.1038274563682;1.9
"08/06/1959";12.4;17.4;14.5;6.7;3.7;75.1504856921642;100;90.4568375963275;3.6
"09/06/1959";13;14.1;13;3.495;3.6;85.0915048945246;91.4136050564222;91.4136050564222;4.2
"10/06/1959";8.7;14.3;11.5;9.965;1.7;70.2263043392935;100;84.360784535139;2.9
"11/06/1959";9.3;14.7;11.7;28.792;2.4;64.6914802169746;92.3771988456842;78.6996061037193;2.1
"12/06/1959";7.7;16.6;13.1;11.371;13.5;59.7609756624281;100;74.8920850008059;2.9
"13/06/1959";12.3;19.4;15.2;3.321;1.7;64.867967334417;100;84.6059192695154;1.4
"14/06/1959";12.9;20.5;16.5;24.638;0.1;53.1210050845705;86.1097711216396;68.2516692368894;2.9
"15/06/1959";11.9;23.8;18.8;27.811;0;49.567490277007;100;67.3485798428331;2.1
"16/06/1959";9.9;18.7;14.5;22.969;0;52.8082085202512;93.3878168540921;68.9777805677801;2.2
"17/06/1959";9.9;24.2;17.5;28.512;0;39.6551023652239;98.2122304036524;59.886849258599;1
"18/06/1959";13.4;27.3;19.8;24.687;1.2;42.0409710380683;99.2545728154751;66.0633754666144;2
"19/06/1959";15.6;26.3;21.1;26.125;3.8;45.9528595448479;88.7325698811736;62.8397587349431;1
"20/06/1959";13.9;25.9;19.5;16.397;4.2;48.4026669062568;100;71.3602706491929;3.8
"21/06/1959";15.9;24.9;19.4;14.058;0.1;51.7998059711094;90.3011634506257;72.4131095146107;3
"22/06/1959";16.1;20.8;18.1;6.753;1;79.9038721609398;100;94.5135753855188;2.5
"23/06/1959";15.1;24.5;19.6;21.54;0;63.8056724719712;100;86.0149287062271;1.2
"24/06/1959";14.5;24.2;19.4;25.754;0.1;65.199700895224;100;87.4093508756285;2.6
"25/06/1959";16.6;20.3;18.2;11.833;14.9;81.1058314931514;100;92.4401142878259;1.9
"26/06/1959";15.9;20.1;18;8.324;14.6;85.6614171158475;100;97.6522737873735;1.5
"27/06/1959";14.8;23;18.8;23.234;0.4;59.2395669472902;98.8769683122317;76.6983771113798;4
"28/06/1959";15.4;19;16.8;15.62;13.1;74.5966703226606;93.6880893531355;85.6770827069559;4.7
"29/06/1959";10.7;16.2;13.4;13.266;6.4;77.6046249517982;100;92.9676724010789;4.7
"30/06/1959";11.4;15.1;13.2;5.951;13.4;81.885253311539;100;92.6212360717648;4.2
"01/07/1959";11.6;16.9;14.5;7.529;2.5;76.526709583733;100;89.2427181043646;3.9
"02/07/1959";14;22;18.1;11.745;0.3;67.6212499646515;100;86.08621299747;5.4
"03/07/1959";15.9;24.1;19.8;13.032;0;60.1254592753753;99.9176509869261;78.1582938120296;3.6
"04/07/1959";15.4;25.1;20.8;25.73;0;58.2581391806509;100;75.5786480306839;1.6
"05/07/1959";17.4;27.8;23.1;28.768;0;53.1900862367662;100;70.3152074678463;1.7
"06/07/1959";19.8;23.6;21.2;23.872;0;69.4337061224681;87.5858380999378;80.3393836663289;4
"07/07/1959";17.4;24.3;20.8;27.137;0;64.5580445533285;98.7026675895775;79.8441681468719;3
"08/07/1959";15.2;27.7;21.7;29.638;0;50.6368062725897;100;72.4617705590779;3.1
"09/07/1959";18;30.4;25.2;28.413;0;53.0007104032223;100;71.7843719476486;0.7
"10/07/1959";22;31.3;25.9;28.014;0.1;51.0699306077948;88.2879212919213;69.8488616527527;0.9
"11/07/1959";20.3;27.9;24.3;10.128;0.1;61.8214901527116;97.5459253841715;76.4762877402258;0.9
"12/07/1959";18.8;26.6;21.9;14.946;2.2;63.5453570424382;100;84.2204913854515;2
"13/07/1959";14.8;22.8;19.1;21.974;0;54.5658174384985;89.9796870159484;68.5016668225994;2.2
"14/07/1959";13.2;26.2;20.1;25.644;0;40.3898832789726;90.5589286003768;58.3982702113455;1.1
"15/07/1959";12.2;24.2;18.6;19.494;1;46.9396836950719;99.7721716944927;66.150889452606;1
"16/07/1959";13.6;25;18.5;24.614;0;51.4147933913057;100;76.483737144302;1.4
"17/07/1959";12.6;24.4;19.1;31.983;0;50.8326423854501;100;70.2705930155652;1.9
"18/07/1959";14.7;26.5;20.9;31.986;0;43.3762483435435;89.8021813043588;60.7619653364031;2.7
"19/07/1959";15.8;28.9;22.5;28.053;0;43.3186861778647;96.1283522302955;63.3047503860013;1.8
"20/07/1959";15.4;29.8;23.2;25.775;0;42.5731566274456;100;62.8083988180888;1
"21/07/1959";16.7;29.8;23.3;26.552;0;40.5260714501952;89.4377542677112;59.4283553351022;1
"22/07/1959";17.1;30.8;23.8;28.352;0;35.0431024678736;79.841725950504;52.8008736191177;1.6
"23/07/1959";16.2;29.9;23.2;26.023;0;34.9757537022754;80.1445414030658;51.8971587314427;2.8
"24/07/1959";17.3;28.9;22.7;19.968;0;41.3221316959231;83.3515604572924;59.6584731147484;1.4
"25/07/1959";14.7;28.9;21;15.661;4.9;46.4444395061504;100;74.3861571811101;1.3
"26/07/1959";16.6;26.5;21.5;24.297;0.1;47.5416107333043;87.1438739954073;64.1899507493139;1.6
"27/07/1959";17.2;27.9;21.7;24.672;0.1;47.3828899136508;90.7571513055645;68.6010767278527;1.5
"28/07/1959";18.3;26.6;21.6;23.729;6.2;45.1990390273141;74.8530851319525;61.0130251431294;2.5
"29/07/1959";12;19.6;15.6;6.958;9.9;63.1662085465366;100;81.3021712425594;4.5
"30/07/1959";13;16.3;14.8;13.96;4.5;80.5584094853741;99.6952423716528;88.6920500057137;4.4
"31/07/1959";12.7;17;14.8;9.209;13.9;77.7671460110382;100;89.5149759145103;4.7
"01/08/1959";12.5;18.8;15.9;12.44;1.7;70.8481826758795;100;85.1050125867335;4
"02/08/1959";12.8;15.4;14.2;4.776;12;83.9168817838932;99.3336944575909;90.6708108117217;2.7
"03/08/1959";12.7;19;15.1;7.892;2.8;73.9736716840542;100;94.7145444194932;2.2
"04/08/1959";11.9;21.1;15.5;14.879;0;60.4626717893265;100;85.9252454550419;1
"05/08/1959";10.2;21.4;16.8;10.693;0;59.7568563373483;100;79.6120515986488;1.1
"06/08/1959";14;22;17.8;18.467;0;66.6658863930062;100;86.4872971547014;1.8
"07/08/1959";12.1;25.8;18.9;26.03;0;49.3326613994881;100;75.0563979287512;3
"08/08/1959";13.1;27.4;20.9;8.123;0.5;48.8939962977315;100;72.2075785985554;1.9
"09/08/1959";17.8;25.9;21.4;14.519;4.5;59.4037163260146;97.4101566141431;77.8897949819791;0.6
"10/08/1959";14.6;25;18.6;13.174;17.3;60.0516556328267;100;88.7740525887715;1.9
"11/08/1959";15.5;23.8;18.8;19.642;0.1;60.8926227009128;100;82.7363184799835;2.2
"12/08/1959";14.5;22.4;18.3;21.565;0;64.5567832307353;100;83.1597629022892;1.5
"13/08/1959";14.2;23;18.8;22.54;0;63.5260684624226;100;82.2481764539148;0.4
"14/08/1959";15.8;21.2;18.4;3.487;11.6;79.2843305292348;100;94.3211330964961;0.8
"15/08/1959";16.1;18.5;16.6;3.972;4.2;85.5286373248487;99.5484509312055;96.4267973118173;1.5
"16/08/1959";10.1;22.2;16.4;20.241;0;52.7306243602407;100;75.6690953335972;1
"17/08/1959";10.7;19.5;15.4;20.979;0;59.8071823020991;100;77.4896813808644;1.8
"18/08/1959";14.3;21.5;18.1;14.495;0;68.1489983007269;100;84.1480765823415;3.9
"19/08/1959";14;26.4;19.6;23.974;0;50.009923070747;100;75.4693655556008;4.4
"20/08/1959";12.8;23.6;18.9;22.838;0;56.8190584181364;100;75.8027079409691;2.9
"21/08/1959";14.9;26;19.7;16.729;1.2;49.6877995815817;98.5973605681909;72.7797546665422;1.8
"22/08/1959";14.4;21;17.9;11.963;0.9;71.2015489719822;100;86.3416714855399;0.8
"23/08/1959";13.8;25.6;19.4;17.995;0;55.5498654007134;100;80.9565543034974;1.1
"24/08/1959";14.7;28.3;21.5;22.788;0;51.7656249342558;100;77.6557962733013;1.4
"25/08/1959";13.7;29;21.9;22.248;0;47.2179592375996;100;71.9852340771902;1.3
"26/08/1959";17.8;29;22.7;21.916;0;52.1927666245382;100;75.7898879737957;1.2
"27/08/1959";15.5;21.9;18.3;12.505;0;62.8692542276494;93.8291833717379;78.5569955556661;2
"28/08/1959";10.6;24.7;17.8;25.307;0;44.8543814005435;100;68.4877681333226;1.1
"29/08/1959";11.1;20.6;15;16.206;0;50.5647525914322;92.8707859890708;71.9582437713985;1.5
"30/08/1959";9;19.7;13.5;20.755;0;44.9672376881182;89.9220163689055;66.7051890109962;2.4
"31/08/1959";8.5;20.5;14.1;19.8;0;44.687597840512;97.1315181015586;66.9893002223204;3
"01/09/1959";8.7;20.6;14.2;21.094;0;43.5666821703574;93.9975066038195;65.2882173088732;3.9
"02/09/1959";6.6;22;14.7;21.733;0;37.9310156122929;100;59.9655624725504;4.2
"03/09/1959";6.9;21.1;14.7;15.646;0;41.2375740812167;100;61.7000230055556;4.9
"04/09/1959";8.8;23.2;15.9;20.428;0;37.599078891011;94.4281443593895;59.1874059340215;4.4
"05/09/1959";10.3;22.2;16.2;10.322;0;43.8894157492627;93.7812708377057;63.7899574241716;4.9
"06/09/1959";11.4;22.7;16.7;19.057;0;37.6970668731014;77.1706636935735;54.7102221543691;3.6
"07/09/1959";10.2;23.5;16.6;20.551;0;39.23198615027;91.3065405965446;60.1405747571512;3.7
"08/09/1959";10.3;23.1;16.2;20.617;0;39.6892332083186;89.5657975092628;60.9225952980019;3.4
"09/09/1959";9.3;23.8;16.2;22.615;0;37.8112400741531;95.1878923487462;60.542050324467;2.5
"10/09/1959";10;25.8;17.5;22.347;0;34.8423877817007;94.2902122196204;57.8822003379818;2.6
"11/09/1959";11.6;27.2;18.5;22.114;0;34.9704477718859;92.3838224631034;59.2433309625999;2
"12/09/1959";10.4;27.8;18.7;21.883;0;35.5792656214774;100;61.6498805249298;0.9
"13/09/1959";12.9;27.9;19.3;16.752;0;35.0558807606027;88.5634778677593;58.8526674540416;1.2
"14/09/1959";14;23.1;17.6;21.513;0;46.6942329683574;82.5765178770878;65.5833015686708;3.9
"15/09/1959";10.7;23.8;17.5;19.843;0;46.2401453676896;100;68.1743612596869;1.2
"16/09/1959";14.1;26.8;19.1;12.29;3.4;46.2796741812904;100;73.7642222466726;1.6
"17/09/1959";11.9;20.8;15.8;16.993;0;52.712010642659;92.956471346568;72.1416591256071;1.8
"18/09/1959";8;20.7;13.5;19.142;0.1;32.532713846193;74.0648684239724;51.3376111226267;3.5
"19/09/1959";5;21;12.6;18.899;0;30.3717264389046;86.6257764128761;51.7806263568192;3.2
"20/09/1959";6;22.1;13.1;20.152;0;32.242102184432;91.7545322068707;56.9015509396913;2.1
"21/09/1959";6.4;27.1;17.3;17.147;0;35.1169818350492;100;63.7845753241993;3.3
"22/09/1959";14.3;24.9;19;7.256;0;49.5539402576767;95.7549608932187;71.0218448011332;4
"23/09/1959";12.2;24.9;18;13.123;0;44.8966150454891;99.5083758617564;68.5074090223379;1.5
"24/09/1959";10;22.2;15.7;14.887;0;47.8777020028375;100;71.846618914574;1.5
"25/09/1959";8.4;21.7;15.1;16.755;0.1;47.797272895852;100;72.3036435943474;3.1
"26/09/1959";10.2;22;15.6;7.506;3.2;54.8378690124423;100;81.8171493660278;1.1
"27/09/1959";11.4;20.3;14.9;11.219;0;58.3442033718764;100;82.0330039927348;2.3
"28/09/1959";7.5;19.1;12.6;17.091;0;41.0464582026099;87.564760704031;62.2149532213864;5.7
"29/09/1959";5.1;18.8;11.2;15.07;0;35.1537357542709;86.8769367532485;57.3582661798288;5.3
"30/09/1959";3.1;18.1;9.9;17.763;0;30.343212620656;82.6133612038131;51.6786902940432;5.1
"01/10/1959";1.1;17.1;9.2;16.137;0;37.793811865192;100;63.3463761135442;2.8
"02/10/1959";4.4;20.8;12.3;16.035;0;42.9072847768334;100;73.6972086368376;1
"03/10/1959";8.2;21.3;13.5;12.642;0;46.6595982046653;100;76.3955054313524;1.6
"04/10/1959";7;21.6;13.5;16.809;0;39.0079133834334;100;65.0515154479571;3.6
